,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$),Dis Mag Value,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day
Total Deaths,1.0,0.014007782300061044,0.028264131991188088,0.004130664513994137,0.0281645674323992,-0.0008470100431156439,0.007099797193839256,-0.0020974260006485393,-8.67281383826012e-05,-0.00020421585055334897,-0.10491363829827897,-0.03730287954667238,-0.03341672145002719,-0.1045955418279337,-0.03646992355274348,-0.03496092754716157
No Injured,0.014007782300061044,1.0,0.07603324878728365,0.13499638652253093,0.08211712349133124,0.0019892134338473444,0.07066763433852932,0.006676611190990302,5.875160161865023e-05,7.405786451297251e-05,0.004063718532968725,-0.011643801230978138,-0.007393606270934334,0.004092547533593046,0.00414086361198243,-0.002151230569608205
No Affected,0.028264131991188088,0.07603324878728365,1.0,0.2789735905152486,0.9995384193975316,0.0039578248922807835,0.10742829249208488,0.04891472930172079,-0.0008936136896677191,-0.0004421962165298455,0.004844233226695639,-0.014809908262370546,-0.02822013627032684,0.0055761884058781385,-0.006620856339731531,-0.015897413348403902
No Homeless,0.004130664513994137,0.13499638652253093,0.2789735905152486,1.0,0.3079151973421803,0.007712765355654443,0.08507488462175056,0.006889043462609718,-0.00035165339712313565,-0.00020401182120623483,-0.015910334812344554,0.008514643165338011,-0.0009767073402936067,-0.016066243462261452,0.012475436716288264,0.014312467141142158
Total Affected,0.0281645674323992,0.08211712349133124,0.9995384193975316,0.3079151973421803,1.0,0.00416658186684757,0.10925971605107053,0.04868894271528508,-0.0008960680358808795,-0.00044423065328945535,0.004312890275327558,-0.014435616840736054,-0.02800547839941802,0.005033201230907138,-0.006158869858135096,-0.015307496486364263
Insured Damages ('000 US$),-0.0008470100431156439,0.0019892134338473444,0.0039578248922807835,0.007712765355654443,0.00416658186684757,1.0,0.7780062913149535,-0.0012190398682280054,-0.00031229993985783494,-2.0289668278140987e-05,0.04047984517170577,0.007255576066328245,0.026366217665877986,0.0403727328475396,0.013869803698559441,0.029132315138521474
Total Damages ('000 US$),0.007099797193839256,0.07066763433852932,0.10742829249208488,0.08507488462175056,0.10925971605107053,0.7780062913149535,1.0,0.008117491855669077,0.0008577342353994948,0.0015268071512470245,0.041832101926724624,0.003692227545760039,0.024132499558024392,0.041817802748706154,0.011385079358152557,0.027964332653543016
Dis Mag Value,-0.0020974260006485393,0.006676611190990302,0.04891472930172079,0.006889043462609718,0.04868894271528508,-0.0012190398682280054,0.008117491855669077,1.0,0.0005785375804978085,0.0005673610958669796,0.03722199607585933,2.1822404685771207e-05,-0.0008687988267298492,0.037549722116134825,-0.0011999248365673618,0.020304215293179016
Latitude,-8.67281383826012e-05,5.875160161865023e-05,-0.0008936136896677191,-0.00035165339712313565,-0.0008960680358808795,-0.00031229993985783494,0.0008577342353994948,0.0005785375804978085,1.0,0.9306879928590465,-0.017144458697032978,0.0037152363869009906,-0.0032192606900656707,-0.01719192100003754,0.004248901991420932,-0.004240137901473441
Longitude,-0.00020421585055334897,7.405786451297251e-05,-0.0004421962165298455,-0.00020401182120623483,-0.00044423065328945535,-2.0289668278140987e-05,0.0015268071512470245,0.0005673610958669796,0.9306879928590465,1.0,-0.02678918898393988,0.0016810273647030378,-0.004993253262261765,-0.026882091376846832,0.0023585775585287963,-0.006257883783261577
Start Year,-0.10491363829827897,0.004063718532968725,0.004844233226695639,-0.015910334812344554,0.004312890275327558,0.04047984517170577,0.041832101926724624,0.03722199607585933,-0.017144458697032978,-0.02678918898393988,1.0,0.02116195760909667,0.11714167952438817,0.9996650547476189,0.049548508753401554,0.14823842193625553
Start Month,-0.03730287954667238,-0.011643801230978138,-0.014809908262370546,0.008514643165338011,-0.014435616840736054,0.007255576066328245,0.003692227545760039,2.1822404685771207e-05,0.0037152363869009906,0.0016810273647030378,0.02116195760909667,1.0,0.13234889931820504,0.020914194537884737,0.850335447406238,0.10312962972834658
Start Day,-0.03341672145002719,-0.007393606270934334,-0.02822013627032684,-0.0009767073402936067,-0.02800547839941802,0.026366217665877986,0.024132499558024392,-0.0008687988267298492,-0.0032192606900656707,-0.004993253262261765,0.11714167952438817,0.13234889931820504,1.0,0.11540566066857745,0.14750269149419362,0.7497471426183623
End Year,-0.1045955418279337,0.004092547533593046,0.0055761884058781385,-0.016066243462261452,0.005033201230907138,0.0403727328475396,0.041817802748706154,0.037549722116134825,-0.01719192100003754,-0.026882091376846832,0.9996650547476189,0.020914194537884737,0.11540566066857745,1.0,0.04595104364254268,0.1462309167838756
End Month,-0.03646992355274348,0.00414086361198243,-0.006620856339731531,0.012475436716288264,-0.006158869858135096,0.013869803698559441,0.011385079358152557,-0.0011999248365673618,0.004248901991420932,0.0023585775585287963,0.049548508753401554,0.850335447406238,0.14750269149419362,0.04595104364254268,1.0,0.1319336563950505
End Day,-0.03496092754716157,-0.002151230569608205,-0.015897413348403902,0.014312467141142158,-0.015307496486364263,0.029132315138521474,0.027964332653543016,0.020304215293179016,-0.004240137901473441,-0.006257883783261577,0.14823842193625553,0.10312962972834658,0.7497471426183623,0.1462309167838756,0.1319336563950505,1.0
